,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth,Base,Quote
1500,TRX/BNB,Binance,1737604.0,0.09,125364.02,217832.23,TRX,BNB
1501,TRX/ETH,Binance,2828729.0,0.01,139676.6,304422.52,TRX,ETH
1502,TRX/XRP,Binance,613613.0,0.02,41193.74,139161.6,TRX,XRP
1503,TSLA/DOGE,FTX,30239.0,0.0,8362323.94,9051942.05,TSLA,DOGE
1504,UNI/BNB,Binance,3023294.0,0.15,125464.05,138905.3,UNI,BNB
1505,VET/BNB,Binance,3136851.0,0.62,108789.41,150703.02,VET,BNB
1506,VET/BNB,Binance,3135708.0,0.16,109494.48,168100.43,VET,BNB
1507,VET/BNB,CoinDCX,81938.0,0.02,695398.07,166615.94,VET,BNB
1508,VET/BRL,NovaDAX,20591.0,0.0,24980.79,26153.6,VET,BRL
1509,VET/BTC,Binance,21274582.0,4.19,1145451.69,1645957.65,VET,BTC
1510,VET/BTC,Binance,21230732.0,0.06,1141557.19,1704045.37,VET,BTC
1511,VET/BTC,HitBTC,8166836.0,1.61,2214536.99,1554287.23,VET,BTC
1512,VET/BTC,Crypto.com Exchange,6047950.0,1.19,425647.01,474960.01,VET,BTC
1513,VET/BTC,BitMart,5626230.0,1.11,81021.2,12169.1,VET,BTC
1514,VET/BTC,OceanEx,4654275.0,0.92,37367.43,7307.54,VET,BTC
1515,VET/BTC,Huobi Global,1808069.0,0.36,128603.8,130910.19,VET,BTC
1516,VET/BTC,KuCoin,1080371.0,0.21,142002.32,241733.6,VET,BTC
1517,VET/BTC,Pionex,732250.0,0.14,106248.94,113074.29,VET,BTC
1518,VET/BTC,Binance.US,626498.0,0.12,79317.1,246255.13,VET,BTC
1519,VET/BTC,Bittrex,168122.0,0.03,115836.25,118711.09,VET,BTC
1520,VET/BTC,AscendEX (Bitmax),160639.0,0.03,67909.38,136611.09,VET,BTC
1521,VET/BTC,Bitfinex,85079.0,0.02,93662.28,149584.17,VET,BTC
1522,VET/BTC,CoinEx,13184.0,0.0,13630.87,14711.18,VET,BTC
1523,VET/BTC,Upbit,9428.0,0.0,4124.51,2167.2,VET,BTC
1524,VET/BTC,CoinDCX,6423.0,0.0,1130672.39,1709696.75,VET,BTC
1525,VET/BUSD,Binance,19619664.0,3.86,363317.74,350719.48,VET,BUSD
1526,VET/CRO,Crypto.com Exchange,95291.0,0.02,413942.28,551442.26,VET,CRO
1527,VET/ETH,BitMart,10665493.0,2.1,43291.83,7265.0,VET,ETH
1528,VET/ETH,OceanEx,7909572.0,1.56,39940.11,18038.48,VET,ETH
1529,VET/ETH,Binance,4755124.0,0.02,140915.84,222472.15,VET,ETH
1530,VET/ETH,Binance,4693863.0,0.92,147754.55,215855.51,VET,ETH
1531,VET/ETH,Huobi Global,523461.0,0.1,16536.38,19987.84,VET,ETH
1532,VET/ETH,KuCoin,375781.0,0.07,39702.96,121069.03,VET,ETH
1533,VET/ETH,Pionex,339166.0,0.07,12354.35,10828.24,VET,ETH
1534,VET/ETH,Gate.io,12729.0,0.0,10984.05,18960.45,VET,ETH
1535,VET/ETH,CoinEx,7503.0,0.0,10536.29,6996.05,VET,ETH
1536,VET/ETH,CoinDCX,87.06,0.0,133906.23,16005594.95,VET,ETH
1537,VET/EUR,Bitvavo,13582360.0,2.67,245038.5,305063.9,VET,EUR
1538,VET/EUR,Binance,4009646.0,0.79,105530.07,268522.73,VET,EUR
1539,VET/GBP,Binance,971580.0,0.19,64766.67,65573.42,VET,GBP
1540,VET/HUSD,Huobi Global,138466.0,0.03,5343.79,10215.94,VET,HUSD
1541,VET/INR,WazirX,966045.0,0.19,5835.31,10687.84,VET,INR
1542,VET/INR,CoinDCX,290241.0,0.06,3674.41,4199.03,VET,INR
1543,VET/INR,Bitbns,12707.0,0.0,-,171.93,VET,INR
1544,VET/INR,Giottus,1.13,0.0,-,1142.1,VET,INR
1545,VET/KCS,KuCoin,76706.0,0.02,4055.15,7932.96,VET,KCS
1546,VET/KRW,Upbit,37706944.0,7.42,1092885.52,2404198.25,VET,KRW
1547,VET/KRW,Bithumb,2419074.0,0.48,196955.41,242368.69,VET,KRW
1548,VET/TRY,Binance,2290819.0,0.45,92541.44,56298.82,VET,TRY
1549,VET/USD,Binance.US,21036544.0,4.14,395280.28,763961.24,VET,USD
1550,VET/USD,Bitfinex,570646.0,0.11,206410.99,498346.91,VET,USD
1551,VET/USDC,Crypto.com Exchange,420111.0,0.08,403262.08,379563.38,VET,USDC
1552,VET/USDC,CoinEx,2794.0,0.0,3588.48,1366.6,VET,USDC
1553,VET/USDT,Binance,105178930.0,20.7,745820.92,1377200.82,VET,USDT
1554,VET/USDT,Bitrue,61219890.0,12.05,73106.44,169302.5,VET,USDT
1555,VET/USDT,KuCoin,16939056.0,3.33,1084222.21,770526.54,VET,USDT
1556,VET/USDT,Crypto.com Exchange,16114408.0,3.17,864860.34,872451.89,VET,USDT
1557,VET/USDT,Huobi Global,12789179.0,2.52,219468.48,306498.11,VET,USDT
1558,VET/USDT,AAX,9064593.0,1.78,37363.54,13869.95,VET,USDT
1559,VET/USDT,BitMart,8845453.0,1.74,88519.96,9780.53,VET,USDT
1560,VET/USDT,XT.COM,8005786.0,1.58,2754.69,20548.23,VET,USDT
1561,VET/USDT,Binance.US,7777320.0,1.53,269209.4,354663.71,VET,USDT
1562,VET/USDT,BKEX,7265172.0,1.43,536781.81,985713.97,VET,USDT
1563,VET/USDT,Gate.io,6374332.0,1.25,520132.08,600843.26,VET,USDT
1564,VET/USDT,Pionex,5146677.0,1.01,546400.16,294841.32,VET,USDT
1565,VET/USDT,DigiFinex,3795731.0,0.75,570450.1,268204.83,VET,USDT
1566,VET/USDT,LATOKEN,2982874.0,0.59,84180.38,20114.7,VET,USDT
1567,VET/USDT,OceanEx,2247524.0,0.44,33769.78,29267.55,VET,USDT
1568,VET/USDT,VCC Exchange,2188122.0,0.43,-,-,VET,USDT
1569,VET/USDT,Bitay,1625441.0,0.32,22766.66,18856.13,VET,USDT
1570,VET/USDT,AscendEX (Bitmax),1528381.0,0.3,106803.3,142786.81,VET,USDT
1571,VET/USDT,MEXC,1265005.0,0.25,122993.66,138176.98,VET,USDT
1572,VET/USDT,CoinEx,620776.0,0.12,37952.59,71619.14,VET,USDT
1573,VET/USDT,Hotbit,459920.0,0.09,54352.91,41771.28,VET,USDT
1574,VET/USDT,Hoo,429254.0,0.08,96730.39,112051.69,VET,USDT
1575,VET/USDT,CoinDCX,374733.0,0.07,594803.11,1258102.67,VET,USDT
1576,VET/USDT,BiONE,338990.0,0.07,4423.22,5295.74,VET,USDT
1577,VET/USDT,WOO Network,324752.0,0.06,957346.82,1311433.78,VET,USDT
1578,VET/USDT,LBank,318965.0,0.06,577924.69,469567.11,VET,USDT
1579,VET/USDT,Bittrex,133113.0,0.03,95926.16,109153.18,VET,USDT
1580,VET/USDT,WazirX,66425.0,0.01,5307.92,1344.28,VET,USDT
1581,VET/USDT,NovaDAX,5825.0,0.0,27163.17,42586.21,VET,USDT
1582,VET/XRP,Bitrue,1733854.0,0.34,184549.59,139076.38,VET,XRP
1583,VTHO/BNB,Binance,654799.0,0.03,19537.23,89000.61,VTHO,BNB
1584,VTHO/VET,OceanEx,1711206.0,0.34,11929.37,12970.93,VTHO,VET
1585,WABI/BNB,Binance,1253536.0,0.06,38457.37,27583.53,WABI,BNB
1586,WBTC/BTC,Binance,29547450.0,0.08,10737676.62,2822542.97,WBTC,BTC
1587,WBTC/BTC,FTX,14243886.0,0.04,36618068.08,36145418.74,WBTC,BTC
1588,WBTC/ETH,Binance,2751279.0,0.01,115084.0,143366.3,WBTC,ETH
1589,WIN/BNB,Binance,1564691.0,0.08,48494.25,89756.7,WIN,BNB
1590,WRX/BNB,Binance,817083.0,0.04,9529.98,68517.95,WRX,BNB
1591,XBT/USDT,Kraken,17103170.0,0.04,3693204.52,5417668.64,XBT,USDT
1592,XDG/EUR,Kraken,4425825.0,0.14,655340.86,796132.2,XDG,EUR
1593,XDG/USD,Kraken,16269447.0,0.51,1817440.4,1986131.8,XDG,USD
1594,XDG/XBT,Kraken,2955643.0,0.09,561939.58,750558.82,XDG,XBT
1595,XLM/AUD,CoinJar,2366657.0,0.14,138101.6,137588.16,XLM,AUD
1596,XLM/AUD,Kraken,20938.0,0.0,5803.86,6546.76,XLM,AUD
1597,XLM/BNB,Binance,2242129.0,0.14,31363.43,71914.03,XLM,BNB
1598,XLM/BNB,Binance,2230465.0,0.11,30741.65,71686.37,XLM,BNB
1599,XLM/BTC,Binance,33446330.0,2.04,345802.93,493960.81,XLM,BTC
1600,XLM/BTC,Binance,33285228.0,0.09,369974.96,486035.46,XLM,BTC
1601,XLM/BTC,OKEx,9917760.0,0.6,96274.39,116186.69,XLM,BTC
1602,XLM/BTC,Coinbase Exchange,5856862.0,0.36,210194.35,243857.47,XLM,BTC
1603,XLM/BTC,Crypto.com Exchange,5232608.0,0.32,458506.24,464783.7,XLM,BTC
1604,XLM/BTC,GokuMarket,4528329.0,0.28,91273.91,81633.73,XLM,BTC
1605,XLM/BTC,Huobi Global,3873105.0,0.24,95681.64,147798.87,XLM,BTC
1606,XLM/BTC,ProBit Global,3030249.0,0.18,11284.3,11136.35,XLM,BTC
1607,XLM/BTC,KuCoin,2126229.0,0.13,112093.2,156945.85,XLM,BTC
1608,XLM/BTC,Cryptology,1655259.0,0.1,1058172.69,1148078.9,XLM,BTC
1609,XLM/BTC,XT.COM,1223363.0,0.07,702.19,4502.05,XLM,BTC
1610,XLM/BTC,CoinJar,1041335.0,0.06,139773.27,108863.62,XLM,BTC
1611,XLM/BTC,Bittrex,912357.0,0.06,121865.63,210476.17,XLM,BTC
1612,XLM/BTC,Bitstamp,819214.0,0.05,235337.98,221859.96,XLM,BTC
1613,XLM/BTC,Bitfinex,791755.0,0.05,242216.39,282960.86,XLM,BTC
1614,XLM/BTC,ExMarkets,754552.0,0.05,38486.17,46105.66,XLM,BTC
1615,XLM/BTC,AscendEX (Bitmax),164747.0,0.01,23989.48,33922.85,XLM,BTC
1616,XLM/BTC,Gate.io,33459.0,0.0,8524.72,14612.29,XLM,BTC
1617,XLM/BUSD,Binance,26388044.0,1.61,209357.59,267157.25,XLM,BUSD
1618,XLM/CAD,Bitbuy,646747.0,0.04,27467.67,32085.55,XLM,CAD
1619,XLM/CRO,Crypto.com Exchange,85199.0,0.01,23185.56,38693.19,XLM,CRO
1620,XLM/ETH,Binance,4401295.0,0.27,44199.14,150510.22,XLM,ETH
1621,XLM/ETH,Binance,4377450.0,0.02,43154.14,146765.84,XLM,ETH
1622,XLM/ETH,OKEx,3028281.0,0.18,83586.3,85276.73,XLM,ETH
1623,XLM/ETH,GokuMarket,1680036.0,0.1,32351.05,49563.4,XLM,ETH
1624,XLM/ETH,ExMarkets,705184.0,0.04,27979.12,24819.9,XLM,ETH
1625,XLM/ETH,Huobi Global,608110.0,0.04,29075.42,38512.43,XLM,ETH
1626,XLM/ETH,KuCoin,571918.0,0.03,36687.23,94079.63,XLM,ETH
1627,XLM/ETH,Bittrex,351192.0,0.02,34850.77,136340.29,XLM,ETH
1628,XLM/ETH,Gate.io,87836.0,0.01,56082.66,8347.29,XLM,ETH
1629,XLM/ETH,Bitfinex,32191.0,0.0,20876.67,68093.6,XLM,ETH
1630,XLM/EUR,Coinbase Exchange,6047075.0,0.37,265875.09,185131.89,XLM,EUR
1631,XLM/EUR,Binance,3535589.0,0.22,72143.23,52603.96,XLM,EUR
1632,XLM/EUR,Kraken,3321146.0,0.2,482677.13,514837.71,XLM,EUR
1633,XLM/EUR,Bitstamp,3299961.0,0.2,338934.4,367116.45,XLM,EUR
1634,XLM/EUR,Bitvavo,2586220.0,0.16,59460.36,90298.86,XLM,EUR
1635,XLM/EUR,GokuMarket,1962546.0,0.12,67792.63,47651.59,XLM,EUR
1636,XLM/EUR,Blockchain.com,80891.0,0.0,17534.87,17537.54,XLM,EUR
1637,XLM/EUR,Bittrex,17434.0,0.0,23552.71,26308.22,XLM,EUR
1638,XLM/GBP,Kraken,175477.0,0.01,55543.81,33712.68,XLM,GBP
1639,XLM/GBP,Bitstamp,79609.0,0.0,40739.92,38055.82,XLM,GBP
1640,XLM/HUSD,Huobi Global,522157.0,0.03,6427.94,9586.91,XLM,HUSD
1641,XLM/IDR,Rekeningku.com,709557.0,0.04,53048489.03,33843760.53,XLM,IDR
1642,XLM/IDR,Indodax,596933.0,0.04,77071.28,117707.65,XLM,IDR
1643,XLM/INR,WazirX,1205225.0,0.07,4994.43,1933.86,XLM,INR
1644,XLM/JPY,Bitbank,14727567.0,0.9,376706.61,375132.34,XLM,JPY
1645,XLM/KCS,KuCoin,76072.0,0.0,7711.42,11825.13,XLM,KCS
1646,XLM/KRW,Upbit,84659710.0,5.16,473011.47,445529.97,XLM,KRW
1647,XLM/KRW,Bithumb,50909864.0,3.11,268073.32,328269.99,XLM,KRW
1648,XLM/QC,ZB.COM,2711161.0,0.17,1408.98,4974.23,XLM,QC
1649,XLM/THB,Bitkub,3375449.0,0.21,87985.83,138258.15,XLM,THB
1650,XLM/TRY,BtcTurk | Pro,17702156.0,1.08,786144.66,249079.41,XLM,TRY
1651,XLM/TRY,Binance,9916820.0,0.6,79200.94,82537.45,XLM,TRY
1652,XLM/TRY,Paribu,5828328.0,0.36,42013.1,81347.04,XLM,TRY
1653,XLM/TRY,Bitexen,4558597.0,0.28,34286.47,45171.65,XLM,TRY
1654,XLM/USD,Coinbase Exchange,128101430.0,7.81,980441.32,882297.08,XLM,USD
1655,XLM/USD,Binance.US,18469040.0,1.13,195064.95,258172.99,XLM,USD
1656,XLM/USD,Bitstamp,9445681.0,0.58,498064.45,566030.86,XLM,USD
1657,XLM/USD,Kraken,8665717.0,0.53,573456.88,565077.2,XLM,USD
1658,XLM/USD,Bitfinex,6416605.0,0.39,671856.99,583011.77,XLM,USD
1659,XLM/USD,Cryptology,5610480.0,0.34,73182503.45,27097610.4,XLM,USD
1660,XLM/USD,eToroX,2987724.0,0.18,940786.31,1283375.38,XLM,USD
1661,XLM/USD,CEX.IO,1656951.0,0.1,66206.26,63875.89,XLM,USD
1662,XLM/USD,Bittrex,714056.0,0.04,61844.33,64767.4,XLM,USD
1663,XLM/USD,Blockchain.com,100570.0,0.01,24408.12,17536.3,XLM,USD
1664,XLM/USDC,CoinJar,1958081.0,0.12,140115.29,137482.87,XLM,USDC
1665,XLM/USDT,Binance,162125280.0,9.89,589430.85,656422.25,XLM,USDT
1666,XLM/USDT,OKEx,125144960.0,7.63,209285.55,200787.04,XLM,USDT
1667,XLM/USDT,ZB.COM,63016984.0,3.84,62871.58,50125.61,XLM,USDT
1668,XLM/USDT,Huobi Global,36453280.0,2.22,221237.77,269639.13,XLM,USDT
1669,XLM/USDT,KuCoin,24856370.0,1.52,980637.67,513775.95,XLM,USDT
1670,XLM/USDT,WhiteBIT,20093844.0,1.23,485931.77,507674.81,XLM,USDT
1671,XLM/USDT,AAX,11600019.0,0.71,494688.25,22712.93,XLM,USDT
1672,XLM/USDT,Gate.io,10776949.0,0.66,449292.35,541776.54,XLM,USDT
1673,XLM/USDT,Bitglobal,10438766.0,0.64,315.51,519.43,XLM,USDT
1674,XLM/USDT,Binance.US,7896099.0,0.48,312222.04,159074.98,XLM,USDT
1675,XLM/USDT,ProBit Global,4468912.0,0.27,5296.52,10995.16,XLM,USDT
1676,XLM/USDT,BitZ,3491974.0,0.21,26818.52,26966.1,XLM,USDT
1677,XLM/USDT,Dex-Trade,3160371.0,0.19,6435.38,8789.44,XLM,USDT
1678,XLM/USDT,BtcTurk | Pro,3050946.0,0.19,81678.96,80756.48,XLM,USDT
1679,XLM/USDT,GokuMarket,2190793.0,0.13,32935.9,27065.92,XLM,USDT
1680,XLM/USDT,Crypto.com Exchange,2043439.0,0.12,639762.18,509242.26,XLM,USDT
1681,XLM/USDT,XT.COM,1349577.0,0.08,7609.33,17234.01,XLM,USDT
1682,XLM/USDT,WOO Network,872413.0,0.05,1010842.92,782677.11,XLM,USDT
1683,XLM/USDT,ExMarkets,794635.0,0.05,51485.47,51760.16,XLM,USDT
1684,XLM/USDT,Bittrex,749180.0,0.05,72562.99,111748.82,XLM,USDT
1685,XLM/USDT,CoinEx,687786.0,0.04,32264.81,45536.05,XLM,USDT
1686,XLM/USDT,WazirX,459638.0,0.03,5426.2,5130.6,XLM,USDT
1687,XLM/USDT,ProBit,450628.0,0.03,4703.79,7591.4,XLM,USDT
1688,XLM/USDT,AscendEX (Bitmax),286459.0,0.02,28873.51,47990.19,XLM,USDT
1689,XLM/USDT,Liquid,12328.0,0.0,13458.04,4604.06,XLM,USDT
1690,XLM/UST,Bitfinex,2160809.0,0.13,419938.97,418469.9,XLM,UST
1691,XLM/VET,OceanEx,1332835.0,0.26,240.43,4148.35,XLM,VET
1692,XLM/XBT,Kraken,1915197.0,0.12,252635.45,311678.55,XLM,XBT
1693,XMR/BTC,Binance,16349809.0,0.04,480416.78,3947471.87,XMR,BTC
1694,XMR/ETH,Binance,3449562.0,0.02,89065.5,222510.66,XMR,ETH
1695,XRP/AUD,Binance,2270452.0,0.07,138782.24,110117.03,XRP,AUD
1696,XRP/AUD,Kraken,34661.0,0.0,78436.95,6659.88,XRP,AUD
1697,XRP/BIDR,Binance,268573.0,0.01,18441.75,19731.63,XRP,BIDR
1698,XRP/BNB,Binance,4189801.0,0.21,134721.88,454889.21,XRP,BNB
1699,XRP/BNB,Binance,4187607.0,0.13,129031.54,454405.35,XRP,BNB
1700,XRP/BRL,Binance,1469882.0,0.04,152103.62,69066.02,XRP,BRL
1701,XRP/BTC,Binance,45042430.0,0.12,739386.15,963273.79,XRP,BTC
1702,XRP/BTC,Binance,45014900.0,1.37,744417.85,1021287.08,XRP,BTC
1703,XRP/BTC,Huobi Global,8662403.0,0.26,311987.11,300128.11,XRP,BTC
1704,XRP/BTC,OKEx,5813545.0,0.18,260820.55,260769.54,XRP,BTC
1705,XRP/BTC,Poloniex,3396482.0,0.1,263312.84,285695.77,XRP,BTC
1706,XRP/BTC,Bitfinex,2408105.0,0.07,944611.5,986153.24,XRP,BTC
1707,XRP/BTC,FTX,2271782.0,0.07,1803871.92,5169983.37,XRP,BTC
1708,XRP/BTC,KuCoin,1989076.0,0.06,224494.41,241411.65,XRP,BTC
1709,XRP/BTC,AscendEX (Bitmax),1746651.0,0.05,122071.51,132958.43,XRP,BTC
1710,XRP/BTC,Bittrex,1347265.0,0.04,198097.08,352971.83,XRP,BTC
1711,XRP/BTC,Bitstamp,718388.0,0.02,367537.51,498399.48,XRP,BTC
1712,XRP/BTC,ProBit Global,245630.0,0.01,18809.37,18651.65,XRP,BTC
1713,XRP/BTC,Gate.io,238054.0,0.01,22457.96,24052.26,XRP,BTC
1714,XRP/BTC,Liquid,231135.0,0.01,61743.55,91862.04,XRP,BTC
1715,XRP/BTC,Bithumb,148881.0,0.0,107589.15,36109.98,XRP,BTC
1716,XRP/BTC,ZB.COM,17078.0,0.0,1302.53,14987.62,XRP,BTC
1717,XRP/BTC,50x,4088.0,0.0,-,-,XRP,BTC
1718,XRP/BTC,WazirX,1983.0,0.0,37528.93,38116.57,XRP,BTC
1719,XRP/BUSD,Binance,47442684.0,1.44,753015.16,931926.76,XRP,BUSD
1720,XRP/CAD,Kraken,452530.0,0.01,120532.57,126733.6,XRP,CAD
1721,XRP/CRO,Crypto.com Exchange,130045.0,0.0,344217.51,348990.93,XRP,CRO
1722,XRP/ETH,Binance,5642683.0,0.17,179556.43,414885.4,XRP,ETH
1723,XRP/ETH,Binance,5629391.0,0.03,182364.35,410130.6,XRP,ETH
1724,XRP/ETH,KuCoin,782315.0,0.02,126140.18,178894.59,XRP,ETH
1725,XRP/ETH,LBank,566504.0,0.02,76874.85,55941.03,XRP,ETH
1726,XRP/ETH,OKEx,527180.0,0.02,147193.35,137829.95,XRP,ETH
1727,XRP/ETH,Kraken,346993.0,0.01,254015.67,177112.31,XRP,ETH
1728,XRP/ETH,Bittrex,173783.0,0.01,102464.97,227664.99,XRP,ETH
1729,XRP/ETH,50x,1096.0,0.0,-,-,XRP,ETH
1730,XRP/EUR,Bitstamp,11644982.0,0.35,767364.31,718470.48,XRP,EUR
1731,XRP/EUR,Kraken,10027298.0,0.31,1360257.97,1795713.76,XRP,EUR
1732,XRP/EUR,Binance,6375584.0,0.19,165187.88,192570.95,XRP,EUR
1733,XRP/EUR,Bittrex,329767.0,0.01,93289.93,79258.13,XRP,EUR
1734,XRP/EUR,Liquid,5823.0,0.0,485141.18,596416.06,XRP,EUR
1735,XRP/GBP,Binance,1955519.0,0.06,136327.4,88974.06,XRP,GBP
1736,XRP/GBP,Bitstamp,656792.0,0.02,375674.51,338651.75,XRP,GBP
1737,XRP/GBP,Kraken,401168.0,0.01,177618.34,157939.85,XRP,GBP
1738,XRP/HT,Huobi Global,127901.0,0.0,13354.92,10941.58,XRP,HT
1739,XRP/HUSD,Huobi Global,299933.0,0.01,43597.42,53480.43,XRP,HUSD
1740,XRP/IDR,Indodax,2015059.0,0.06,442160.82,253066.52,XRP,IDR
1741,XRP/INR,WazirX,1488059.0,0.05,49791.9,9657.98,XRP,INR
1742,XRP/JPY,Liquid,8369156.0,0.25,495363.74,740949.25,XRP,JPY
1743,XRP/JPY,bitFlyer,4681098.0,0.14,414142.52,390159.08,XRP,JPY
1744,XRP/JPY,Kraken,67251.0,0.0,156789.82,99885.06,XRP,JPY
1745,XRP/KCS,KuCoin,165684.0,0.01,16736.01,8329.69,XRP,KCS
1746,XRP/KRW,Upbit,334181200.0,10.18,9272800.69,10159416.95,XRP,KRW
1747,XRP/KRW,Bithumb,84624250.0,2.58,1542072.47,1568019.98,XRP,KRW
1748,XRP/OKB,OKEx,395421.0,0.01,36393.95,35986.77,XRP,OKB
1749,XRP/QASH,Liquid,1042.0,0.0,-,573.75,XRP,QASH
1750,XRP/QC,ZB.COM,6725302.0,0.2,287484.61,364194.21,XRP,QC
1751,XRP/RUB,Binance,344152.0,0.01,111832.63,24742.61,XRP,RUB
1752,XRP/SGD,Liquid,7483.0,0.0,495564.85,731941.06,XRP,SGD
1753,XRP/TRX,Poloniex,30698.0,0.0,1414.04,1257.78,XRP,TRX
1754,XRP/TRY,Binance,10256298.0,0.31,249583.79,244583.98,XRP,TRY
1755,XRP/TUSD,KuCoin,280977.0,0.01,14666.35,94396.62,XRP,TUSD
1756,XRP/TUSD,Binance,262691.0,0.01,32249.84,34712.19,XRP,TUSD
1757,XRP/TUSD,50x,19.61,0.0,-,-,XRP,TUSD
1758,XRP/USD,FTX,41451840.0,1.26,5447153.49,6215652.38,XRP,USD
1759,XRP/USD,Bitstamp,23024832.0,0.7,1824014.18,2000881.78,XRP,USD
1760,XRP/USD,Bitfinex,10506118.0,0.32,2644188.45,3421758.32,XRP,USD
1761,XRP/USD,Kraken,6780873.0,0.21,917933.3,1745147.44,XRP,USD
1762,XRP/USD,eToroX,3252972.0,0.1,5667276.72,29980779.16,XRP,USD
1763,XRP/USD,Bittrex,691992.0,0.02,293029.82,250972.87,XRP,USD
1764,XRP/USD,Liquid,110666.0,0.0,857525.59,357170.47,XRP,USD
1765,XRP/USDC,Binance,4439677.0,0.14,153699.05,168696.33,XRP,USDC
1766,XRP/USDC,KuCoin,2064601.0,0.06,123956.22,123093.63,XRP,USDC
1767,XRP/USDC,Crypto.com Exchange,989595.0,0.03,664657.26,541956.48,XRP,USDC
1768,XRP/USDC,OKEx,305412.0,0.01,49586.25,45871.98,XRP,USDC
1769,XRP/USDC,Poloniex,117168.0,0.0,32828.28,35819.76,XRP,USDC
1770,XRP/USDC,50x,39.98,0.0,-,-,XRP,USDC
1771,XRP/USDK,OKEx,835544.0,0.03,74657.02,41215.36,XRP,USDK
1772,XRP/USDT,Binance,459632540.0,14.0,3799284.78,3411580.74,XRP,USDT
1773,XRP/USDT,Huobi Global,118443600.0,3.61,1801525.21,1212373.66,XRP,USDT
1774,XRP/USDT,KuCoin,70452530.0,2.15,3254868.45,1151097.96,XRP,USDT
1775,XRP/USDT,Gate.io,63645310.0,1.94,972548.84,817146.71,XRP,USDT
1776,XRP/USDT,OKEx,55766370.0,1.7,800269.37,1204778.05,XRP,USDT
1777,XRP/USDT,ZB.COM,42696164.0,1.3,460461.98,489897.55,XRP,USDT
1778,XRP/USDT,Crypto.com Exchange,10076935.0,0.31,1050357.85,1093773.78,XRP,USDT
1779,XRP/USDT,FTX,7820210.0,0.24,6617654.7,4452426.31,XRP,USDT
1780,XRP/USDT,Bitglobal,3588646.0,0.11,63750.06,26385.7,XRP,USDT
1781,XRP/USDT,ProBit Global,3386555.0,0.1,9156.19,41885.41,XRP,USDT
1782,XRP/USDT,AscendEX (Bitmax),2682654.0,0.08,356161.26,346139.11,XRP,USDT
1783,XRP/USDT,Poloniex,2306128.0,0.07,269836.7,262884.13,XRP,USDT
1784,XRP/USDT,LBank,2244763.0,0.07,1610913.4,1572735.92,XRP,USDT
1785,XRP/USDT,Kraken,2230751.0,0.07,160888.17,191948.76,XRP,USDT
1786,XRP/USDT,Bittrex,1013708.0,0.03,465078.64,224423.69,XRP,USDT
1787,XRP/USDT,WazirX,271897.0,0.01,10362.59,10699.38,XRP,USDT
1788,XRP/USDT,ProBit,264940.0,0.01,14763.03,37578.93,XRP,USDT
1789,XRP/USDT,Bitstamp,208955.0,0.01,42415.31,44691.28,XRP,USDT
1790,XRP/USDT,50x,76.14,0.0,-,-,XRP,USDT
1791,XRP/UST,Bitfinex,687990.0,0.02,743829.73,731600.7,XRP,UST
1792,XRP/VET,OceanEx,3256749.0,0.64,1067.23,3321.98,XRP,VET
1793,XRP/WBNB,PancakeSwap (V2),3758420.0,0.11,-,-,XRP,WBNB
1794,XRP/WBNB,PancakeSwap,3570.0,0.0,-,-,XRP,WBNB
1795,XRP/WRX,WazirX,13354.0,0.0,5821.77,2409.03,XRP,WRX
1796,XRP/XBT,Kraken,1131212.0,0.03,456563.68,603153.22,XRP,XBT
1797,XTZ/BNB,Binance,482668.0,0.02,19766.0,88601.68,XTZ,BNB
1798,XTZ/BTC,Binance,20989358.0,0.05,280304.56,441613.32,XTZ,BTC
1799,XTZ/VET,OceanEx,1476510.0,0.29,6879.66,1870.39,XTZ,VET
1800,XVS/BNB,Binance,929859.0,0.05,14575.85,77101.37,XVS,BNB
1801,YGG/BNB,Binance,475070.0,0.02,11807.87,48202.57,YGG,BNB
1802,ZEC/LTC,Gemini,1777.0,0.0,22213.94,48748.27,ZEC,LTC
1803,ZEC/VET,OceanEx,606556.0,0.12,1310.42,220.74,ZEC,VET
1804,ZRX/VET,OceanEx,1263768.0,0.25,222.33,1633.44,ZRX,VET
1805,luna/usdt,XT.COM,2196010.0,0.14,47439.19,376868.81,luna,usdt
