,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth,Base,Quote
1268,LUNA/USDT,Huobi Global,119361560.0,7.37,1013975.08,423630.44,LUNA,USDT
1269,LUNA/USDT,Gate.io,85027464.0,5.25,650387.95,628922.54,LUNA,USDT
1270,LUNA/USDT,ZT,59683520.0,0.0,12913.58,12481.02,LUNA,USDT
1271,LUNA/USDT,BW.com,53800096.0,3.32,6999.34,6581.15,LUNA,USDT
1272,LUNA/USDT,Pionex,38753320.0,2.39,769433.32,454476.67,LUNA,USDT
1273,LUNA/USDT,DigiFinex,35293736.0,2.18,376079.72,213418.48,LUNA,USDT
1274,LUNA/USDT,Bitglobal,24847558.0,1.53,2076.9,386.65,LUNA,USDT
1275,LUNA/USDT,AOFEX,24251590.0,0.0,217118.83,455100.96,LUNA,USDT
1276,LUNA/USDT,Crypto.com Exchange,10766891.0,0.67,281687.23,285191.95,LUNA,USDT
1277,LUNA/USDT,BitMart,8453749.0,0.52,13164.29,14009.39,LUNA,USDT
1278,LUNA/USDT,BKEX,6701913.0,0.41,182402.98,237751.19,LUNA,USDT
1279,LUNA/USDT,BiONE,4381431.0,0.27,22870.29,80597.46,LUNA,USDT
1280,LUNA/USDT,Bittrex,2479681.0,0.15,510012.96,47460.71,LUNA,USDT
1281,LUNA/USDT,MEXC,2372559.0,0.15,817870.62,922094.49,LUNA,USDT
1282,LUNA/USDT,CoinEx,1393244.0,0.09,92471.27,87373.49,LUNA,USDT
1283,LUNA/USDT,Bitrue,833278.0,0.05,24284.77,4427.65,LUNA,USDT
1284,LUNA/USDT,CoinDCX,571568.0,0.04,960837.06,10429391.6,LUNA,USDT
1285,LUNA/USDT,Tokocrypto,502459.0,0.0,912777.95,1581128.26,LUNA,USDT
1286,LUNA/USDT,AEX,256045.0,0.02,477033.08,459148.43,LUNA,USDT
1287,LUNA/USDT,WazirX,154641.0,0.01,20083.92,2161.15,LUNA,USDT
1288,LUNA/USDT,Huobi Korea,140827.0,0.0,975154.39,324760.34,LUNA,USDT
1289,LUNA/USDT,Hotbit,119844.0,0.01,73578.63,136550.77,LUNA,USDT
1290,LUNA/USDT,LBank,72302.0,0.0,34040.25,24534.41,LUNA,USDT
1291,LUNA/USDT,BitBay,63726.0,0.0,51568.26,33746.9,LUNA,USDT
