Exchange,Symbol,Price,+2% Depth,-2% Depth,Volume,Volume %,Confidence,Liquidity,Updated,Base,Quote
Binance,CTSI/BNB,441.15,26413.08,104574.86,1043828.0,0.05,High,680.0,Recently,CTSI,BNB
Binance,GALA/BNB,441.15,104502.33,119406.86,998483.0,0.05,High,524.0,Recently,GALA,BNB
Binance,OGN/BNB,441.15,20575.39,36579.07,990874.0,0.05,High,627.0,Recently,OGN,BNB
Binance,ALGO/BNB,441.15,10692.43,74348.57,972553.0,0.05,High,625.0,Recently,ALGO,BNB
Binance,SUSHI/BNB,441.15,52650.14,86067.19,956696.0,0.05,High,739.0,Recently,SUSHI,BNB
Binance,COCOS/BNB,441.15,4417.77,9794.33,941826.0,0.05,High,934.0,Recently,COCOS,BNB
Binance,XVS/BNB,441.15,14575.85,77101.37,929859.0,0.05,High,810.0,Recently,XVS,BNB
Binance,C98/BNB,441.15,39557.4,182781.2,880511.0,0.04,High,557.0,Recently,C98,BNB
Binance,AGLD/BNB,441.15,17846.52,30640.54,869284.0,0.04,High,543.0,Recently,AGLD,BNB
Binance,BNB/RUB,442.1,134538.93,37236.01,857216.0,0.04,High,694.0,Recently,BNB,RUB
Binance,SXP/BNB,441.15,26032.68,100483.39,842379.0,0.04,High,730.0,Recently,SXP,BNB
Binance,WRX/BNB,441.15,9529.98,68517.95,817083.0,0.04,High,858.0,Recently,WRX,BNB
Binance,EGLD/BNB,441.15,87447.64,83710.15,785562.0,0.04,High,888.0,Recently,EGLD,BNB
Binance,CELR/BNB,441.15,22251.28,21728.05,740111.0,0.04,High,537.0,Recently,CELR,BNB
Binance,ILV/BNB,441.15,37836.87,49857.99,729706.0,0.04,High,660.0,Recently,ILV,BNB
FTX,BNB/BTC,440.83,2783740.73,2126746.94,728307.0,0.04,High,218.0,Recently,BNB,BTC
Binance,AAVE/BNB,441.15,49522.34,63039.63,702559.0,0.04,High,801.0,Recently,AAVE,BNB
Binance,STX/BNB,441.15,21653.9,49546.41,700264.0,0.03,High,797.0,Recently,STX,BNB
Binance,GNO/BNB,441.15,9032.15,41557.43,672830.0,0.03,High,755.0,Recently,GNO,BNB
Binance,VTHO/BNB,441.15,19537.23,89000.61,654799.0,0.03,High,912.0,Recently,VTHO,BNB
Binance,ERN/BNB,441.15,18705.58,44216.17,651195.0,0.03,High,748.0,Recently,ERN,BNB
Binance,NU/BNB,441.15,35928.24,29881.17,650814.0,0.03,High,784.0,Recently,NU,BNB
Binance,NEO/BNB,441.15,20240.05,62504.77,641766.0,0.03,High,741.0,Recently,NEO,BNB
Binance,FLOW/BNB,441.33,511475.17,548655.97,640467.0,0.03,High,628.0,Recently,FLOW,BNB
Binance,RUNE/BNB,441.15,39784.74,69171.48,594782.0,0.03,High,692.0,Recently,RUNE,BNB
Binance,BOND/BNB,441.15,14076.45,29367.57,569198.0,0.03,High,942.0,Recently,BOND,BNB
Binance,HOT/BNB,441.15,12662.89,36491.68,562866.0,0.03,High,677.0,Recently,HOT,BNB
Binance,IOST/BNB,441.15,50672.95,35025.4,551376.0,0.03,High,840.0,Recently,IOST,BNB
Binance,ARPA/BNB,441.15,6013.19,47418.92,544091.0,0.03,High,701.0,Recently,ARPA,BNB
Binance,MASK/BNB,441.15,29219.66,39893.17,530569.0,0.03,High,924.0,Recently,MASK,BNB
Binance,EOS/BNB,441.15,26293.73,33194.11,515921.0,0.03,High,695.0,Recently,EOS,BNB
Binance,HBAR/BNB,441.15,38940.35,50060.49,511612.0,0.03,High,573.0,Recently,HBAR,BNB
Binance,MBOX/BNB,441.15,16776.72,72900.8,509781.0,0.03,High,510.0,Recently,MBOX,BNB
Binance,NEAR/BNB,441.15,15972.24,79973.37,492169.0,0.02,High,668.0,Recently,NEAR,BNB
Binance,TORN/BNB,441.15,14763.83,9424.02,491483.0,0.02,High,541.0,Recently,TORN,BNB
Binance,XTZ/BNB,441.15,19766.0,88601.68,482668.0,0.02,High,638.0,Recently,XTZ,BNB
Binance,SRM/BNB,441.15,41271.62,54850.27,481485.0,0.02,High,946.0,Recently,SRM,BNB
Binance,YGG/BNB,441.88,11807.87,48202.57,475070.0,0.02,High,535.0,Recently,YGG,BNB
Binance,CLV/BNB,441.15,15124.43,29308.82,455247.0,0.02,High,736.0,Recently,CLV,BNB
Binance,FET/BNB,441.15,15636.41,36501.07,454159.0,0.02,High,937.0,Recently,FET,BNB
Binance,MINA/BNB,441.15,20401.47,36307.16,452503.0,0.02,High,834.0,Recently,MINA,BNB
Binance,KLAY/BNB,441.15,22944.8,12946.16,446761.0,0.02,High,646.0,Recently,KLAY,BNB
Binance,FIO/BNB,441.15,11491.59,9313.23,438101.0,0.02,High,561.0,Recently,FIO,BNB
Binance,ADA/USDT,2.3,3938817.91,4484214.98,592036907.0,17.81,High,734.0,Recently,ADA,USDT
Coinbase Exchange,ADA/USD,2.3,2076296.22,1942048.06,308957530.0,9.29,High,648.0,Recently,ADA,USD
Binance,ADA/BTC,2.3,1332983.34,1018163.83,125927084.0,3.79,High,939.0,Recently,ADA,BTC
Binance,ADA/BUSD,2.3,1275454.77,1174061.32,122969918.0,3.7,High,512.0,Recently,ADA,BUSD
Huobi Global,ADA/USDT,2.3,1509581.22,1085339.15,112744848.0,3.39,Low,533.0,Recently,ADA,USDT
Binance.US,ADA/USD,2.3,1219244.99,1286073.97,70552657.0,2.12,High,514.0,Recently,ADA,USD
Gate.io,ADA/USDT,2.3,689545.9,988229.41,65184095.0,1.96,High,398.0,Recently,ADA,USDT
KuCoin,ADA/USDT,2.3,1150531.97,1726241.2,62424591.0,1.88,High,567.0,Recently,ADA,USDT
Kraken,ADA/USD,2.3,2932188.82,2925179.44,41963026.0,1.26,High,578.0,Recently,ADA,USD
Binance,ADA/EUR,2.28,694849.57,677905.12,32067735.0,0.96,High,910.0,Recently,ADA,EUR
Coinbase Exchange,ADA/BTC,2.3,579208.25,641680.97,26155322.0,0.79,High,397.0,Recently,ADA,BTC
Kraken,ADA/EUR,2.3,1611191.17,1342425.88,23314037.0,0.7,High,617.0,Recently,ADA,EUR
Binance,ADA/TRY,2.3,331066.31,289109.17,22913607.0,0.69,High,667.0,Recently,ADA,TRY
Coinbase Exchange,ADA/EUR,2.29,538681.04,589001.15,21982311.0,0.66,High,356.0,Recently,ADA,EUR
Bithumb,ADA/KRW,2.35,557782.22,543666.97,19862387.0,0.6,High,221.0,Recently,ADA,KRW
Binance,ADA/ETH,2.3,478123.91,524529.84,19097137.0,0.57,High,894.0,Recently,ADA,ETH
Coinbase Exchange,ADA/ETH,2.3,379044.34,396792.3,17019307.0,0.51,High,222.0,Recently,ADA,ETH
Binance.US,ADA/USDT,2.3,1016500.15,633785.1,16593335.0,0.5,High,809.0,Recently,ADA,USDT
Coinbase Exchange,ADA/GBP,2.29,402834.03,336357.88,15033895.0,0.45,High,356.0,Recently,ADA,GBP
Huobi Global,ADA/BTC,2.3,268136.37,333334.87,13054532.0,0.39,Moderate,401.0,Recently,ADA,BTC
Binance,ADA/USDC,2.3,737630.29,990727.05,11302365.0,0.34,High,558.0,Recently,ADA,USDC
Bitfinex,ADA/USD,2.3,1968409.09,2705465.67,10790655.0,0.32,High,388.0,Recently,ADA,USD
Coinbase Exchange,ADA/USDC,2.3,433522.92,541069.27,10275649.0,0.31,High,295.0,Recently,ADA,USDC
Bittrex,ADA/USD,2.3,1151202.86,914686.54,7181635.0,0.22,High,301.0,Recently,ADA,USD
Binance,ADA/BNB,2.3,250026.97,335245.32,7108474.0,0.21,High,882.0,Recently,ADA,BNB
Binance,ADA/BRL,2.31,161855.55,116721.07,5947427.0,0.18,High,697.0,Recently,ADA,BRL
Bittrex,ADA/BTC,2.3,936434.29,1049366.83,5906554.0,0.18,High,275.0,Recently,ADA,BTC
Kraken,ADA/USDT,2.3,739077.8,715501.6,5443779.0,0.16,High,409.0,Recently,ADA,USDT
Kraken,ADA/XBT,2.3,1233629.65,1232180.51,4261747.0,0.13,High,482.0,Recently,ADA,XBT
KuCoin,ADA/BTC,2.3,269119.74,325720.35,4073830.0,0.12,High,242.0,Recently,ADA,BTC
Binance,ADA/AUD,2.3,156072.36,149816.95,3938066.0,0.12,High,690.0,Recently,ADA,AUD
Binance,ADA/GBP,2.26,145896.46,112643.18,3354296.0,0.1,High,743.0,Recently,ADA,GBP
Bitfinex,ADA/UST,2.3,1448705.85,1645397.89,3179470.0,0.1,High,278.0,Recently,ADA,UST
Huobi Global,ADA/ETH,2.3,148093.54,158193.56,3032463.0,0.09,Moderate,207.0,Recently,ADA,ETH
Binance.US,ADA/BTC,2.3,593687.52,593414.07,2845596.0,0.09,High,687.0,Recently,ADA,BTC
Bitfinex,ADA/BTC,2.3,766585.04,899581.48,2849693.0,0.09,High,304.0,Recently,ADA,BTC
Bittrex,ADA/USDT,2.29,918050.43,691135.9,2774629.0,0.08,High,279.0,Recently,ADA,USDT
Kraken,ADA/ETH,2.3,531180.74,627671.05,2040521.0,0.06,High,403.0,Recently,ADA,ETH
KuCoin,ADA/USDC,2.3,274097.27,147608.53,1584301.0,0.05,High,176.0,Recently,ADA,USDC
Kraken,ADA/GBP,2.3,195183.75,172485.89,1306876.0,0.04,High,449.0,Recently,ADA,GBP
Binance,ADA/BIDR,2.3,84217.45,32331.97,1024722.0,0.03,High,635.0,Recently,ADA,BIDR
Binance,ADA/RUB,2.3,86515.3,58042.85,864233.0,0.03,High,875.0,Recently,ADA,RUB
Bittrex,ADA/ETH,2.3,211512.79,194871.07,825832.0,0.02,High,292.0,Recently,ADA,ETH
Binance,ADA/TUSD,2.3,45039.35,136309.05,599205.0,0.02,High,894.0,Recently,ADA,TUSD
Huobi Global,ADA/HUSD,2.3,58595.05,64789.25,596146.0,0.02,High,187.0,Recently,ADA,HUSD
Bittrex,ADA/EUR,2.29,209745.25,127089.18,461185.0,0.01,High,203.0,Recently,ADA,EUR
Gate.io,ADA/BTC,2.29,46829.31,68970.17,318619.0,0.01,High,172.0,Recently,ADA,BTC
KuCoin,ADA/KCS,2.29,58298.96,24454.39,169216.0,0.01,High,97.0,Recently,ADA,KCS
Kraken,ADA/AUD,2.29,9381.56,8335.31,64819.0,0.0,High,130.0,Recently,ADA,AUD
LBank,ADA/USDT,2.3,868209.22,1180550.29,218543783.0,6.57,Low,271.0,Recently,ADA,USDT
ZB.COM,ADA/USDT,2.3,562697.0,606694.7,33880486.0,1.02,Low,215.0,Recently,ADA,USDT
OKEx,ADA/USDT,2.3,853734.69,633190.69,33745812.0,1.02,High,537.0,Recently,ADA,USDT
Crypto.com Exchange,ADA/USDT,2.3,852091.35,1056195.65,17466346.0,0.53,High,445.0,Recently,ADA,USDT
Phemex,ADA/USDT,2.29,-,-,11321233.0,0.34,N/A,-,Recently,ADA,USDT
eToroX,ADA/USD,2.29,2748392.31,3540041.4,8437913.0,0.25,High,172.0,Recently,ADA,USD
PancakeSwap (V2),ADA/WBNB,2.29,-,-,8203315.0,0.25,High,-,Recently,ADA,WBNB
Bitglobal,ADA/USDT,2.29,1019.36,2219.34,7480303.0,0.23,Low,55.0,Recently,ADA,USDT
OKEx,ADA/BTC,2.3,262456.68,294540.27,7076975.0,0.21,High,359.0,Recently,ADA,BTC
WazirX,ADA/INR,2.36,11803.32,30257.99,4258043.0,0.13,High,163.0,Recently,ADA,INR
Indodax,ADA/IDR,2.3,717270.17,849789.97,3926968.0,0.12,High,436.0,Recently,ADA,IDR
ZB.COM,ADA/QC,2.3,104515.87,98818.16,2869519.0,0.09,Low,195.0,Recently,ADA,QC
AscendEX (Bitmax),ADA/USDT,2.3,160438.88,130859.98,2423425.0,0.07,High,225.0,Recently,ADA,USDT
Crypto.com Exchange,ADA/USDC,2.3,117449.58,202000.57,1214679.0,0.04,High,347.0,Recently,ADA,USDC
AscendEX (Bitmax),ADA/BTC,2.3,57572.23,127539.48,1092713.0,0.03,High,197.0,Recently,ADA,BTC
Binance DEX,ADA-9F4/BUSD-BD1,2.3,33154.47,91726.31,527613.0,0.02,High,739.0,Recently,ADA-9F4,BUSD-BD1
WazirX,ADA/USDT,2.29,9453.73,7676.68,509540.0,0.02,High,87.0,Recently,ADA,USDT
OKEx,ADA/ETH,2.3,187254.47,167799.65,372436.0,0.01,High,171.0,Recently,ADA,ETH
Crypto.com Exchange,ADA/CRO,2.31,2611890.82,2557404.08,227042.0,0.01,High,116.0,Recently,ADA,CRO
WazirX,ADA/WRX,2.29,6779.11,2578.27,118577.0,0.0,High,58.0,Recently,ADA,WRX
PancakeSwap (V2),ADA/BUSD,2.29,-,-,52731.0,0.0,High,-,Recently,ADA,BUSD
PancakeSwap (V2),ADA/CAKE,2.3,-,-,51653.0,0.0,High,-,Recently,ADA,CAKE
ZB.COM,ADA/BTC,2.3,19420.92,26514.85,49631.0,0.0,High,161.0,Recently,ADA,BTC
PancakeSwap (V2),ADA/DOT,2.3,-,-,18512.0,0.0,High,-,Recently,ADA,DOT
PancakeSwap,ADA/SEED,2.29,-,-,14849.0,0.0,High,-,Recently,ADA,SEED
PancakeSwap (V2),ADA/OCTAX,2.29,-,-,5664.0,0.0,High,-,Recently,ADA,OCTAX
WazirX,ADA/BTC,2.3,16143.85,16701.55,5127.0,0.0,High,55.0,Recently,ADA,BTC
Upbit,ADA/KRW,2.35,1883764.09,1505670.5,155618603.0,4.68,Low,173.0,Recently,ADA,KRW
Bitvavo,ADA/EUR,2.3,417001.57,577165.69,39993615.0,1.2,High,245.0,Recently,ADA,EUR
AAX,ADA/USDT,2.3,481027.16,1508036.59,30708033.0,0.92,Moderate,236.0,Recently,ADA,USDT
Bitexen,ADA/TRY,2.3,107863.86,117429.52,30434270.0,0.92,High,260.0,Recently,ADA,TRY
BtcTurk | Pro,ADA/TRY,2.29,3949173.28,897552.18,25165188.0,0.76,High,307.0,Recently,ADA,TRY
Binance TR,ADA/TRY,2.3,-,-,18459593.0,0.56,N/A,-,Recently,ADA,TRY
XT.COM,ADA/USDT,2.3,1263.86,675624.74,16595440.0,0.5,High,652.0,Recently,ADA,USDT
Bitkub,ADA/THB,2.29,581399.53,928986.88,14303194.0,0.43,High,252.0,Recently,ADA,THB
Paribu,ADA/TRY,2.27,135925.98,778075.06,12713880.0,0.38,High,278.0,Recently,ADA,TRY
Deepcoin,ADA/USDT,2.3,1158086.85,582600.26,8573730.0,0.26,Low,370.0,Recently,ADA,USDT
Dex-Trade,ADA/USDT,2.3,2302638.19,1855968.28,8261354.0,0.25,Low,120.0,Recently,ADA,USDT
WOO Network,ADA/USDT,2.3,4897346.19,5535726.31,7672609.0,0.23,High,509.0,Recently,ADA,USDT
CoinEx,ADA/USDT,2.33,97925.8,425556.32,7615299.0,0.23,High,279.0,Recently,ADA,USDT
BtcTurk | Pro,ADA/USDT,2.3,224087.77,346248.92,5515938.0,0.17,High,218.0,Recently,ADA,USDT
BitZ,ADA/USDT,2.29,114659.27,122221.63,3646627.0,0.11,Low,306.0,Recently,ADA,USDT
CEX.IO,ADA/USD,2.29,285093.88,276698.51,3175587.0,0.1,High,454.0,Recently,ADA,USD
EXMO,ADA/USD,2.3,133817.04,206107.74,2527663.0,0.08,High,137.0,Recently,ADA,USD
ExMarkets,ADAX/ADA,2.3,43939.77,38437.13,2498373.0,0.08,High,140.0,Recently,ADAX,ADA
ExMarkets,ADA/USDT,2.3,82717.75,72330.2,2307147.0,0.07,High,150.0,Recently,ADA,USDT
Dex-Trade,ADA/BTC,2.3,81891.18,87964.6,1704477.0,0.05,High,117.0,Recently,ADA,BTC
Rekeningku.com,ADA/IDR,2.31,1237676996.6,995072824.15,1700317.0,0.05,High,247.0,Recently,ADA,IDR
EXMO,ADA/BTC,2.3,86761.7,107243.88,1532673.0,0.05,High,139.0,Recently,ADA,BTC
Bitbns,ADA/INR,2.39,886038.36,1003366.44,1525723.0,0.05,High,164.0,Recently,ADA,INR
ApeSwap (BSC),ADA/WBNB,2.29,-,-,1358446.0,0.04,N/A,-,Recently,ADA,WBNB
Binance,XRP/USDT,1.07,3799284.78,3411580.74,459632540.0,14.0,High,741.0,Recently,XRP,USDT
Huobi Global,XRP/USDT,1.07,1801525.21,1212373.66,118443602.0,3.61,Low,614.0,Recently,XRP,USDT
Bithumb,XRP/KRW,1.1,1542072.47,1568019.98,84624248.0,2.58,High,302.0,Recently,XRP,KRW
KuCoin,XRP/USDT,1.07,3254868.45,1151097.96,70452525.0,2.15,High,722.0,Recently,XRP,USDT
Gate.io,XRP/USDT,1.07,972548.84,817146.71,63645310.0,1.94,High,496.0,Recently,XRP,USDT
Binance,XRP/BUSD,1.07,753015.16,931926.76,47442683.0,1.44,High,519.0,Recently,XRP,BUSD
Binance,XRP/BTC,1.07,744417.85,1021287.08,45014901.0,1.37,High,801.0,Recently,XRP,BTC
FTX,XRP/USD,1.07,5447153.49,6215652.38,41451841.0,1.26,High,650.0,Recently,XRP,USD
Bitstamp,XRP/USD,1.07,1824014.18,2000881.78,23024831.0,0.7,High,352.0,Recently,XRP,USD
Bitstamp,XRP/EUR,1.07,767364.31,718470.48,11644982.0,0.35,High,299.0,Recently,XRP,EUR
Bitfinex,XRP/USD,1.07,2644188.45,3421758.32,10506118.0,0.32,High,407.0,Recently,XRP,USD
Binance,XRP/TRY,1.07,249583.79,244583.98,10256298.0,0.31,High,566.0,Recently,XRP,TRY
Kraken,XRP/EUR,1.07,1360257.97,1795713.76,10027298.0,0.31,High,423.0,Recently,XRP,EUR
Huobi Global,XRP/BTC,1.07,311987.11,300128.11,8662403.0,0.26,High,396.0,Recently,XRP,BTC
Liquid,XRP/JPY,1.07,495363.74,740949.25,8369156.0,0.25,High,232.0,Recently,XRP,JPY
FTX,XRP/USDT,1.07,6617654.7,4452426.31,7820210.0,0.24,High,432.0,Recently,XRP,USDT
Kraken,XRP/USD,1.07,917933.3,1745147.44,6780873.0,0.21,High,421.0,Recently,XRP,USD
Binance,XRP/EUR,1.06,165187.88,192570.95,6375584.0,0.19,High,547.0,Recently,XRP,EUR
Binance,XRP/ETH,1.07,179556.43,414885.4,5642683.0,0.17,High,516.0,Recently,XRP,ETH
bitFlyer,XRP/JPY,1.07,414142.52,390159.08,4681098.0,0.14,High,204.0,Recently,XRP,JPY
Binance,XRP/USDC,1.07,153699.05,168696.33,4439677.0,0.14,High,905.0,Recently,XRP,USDC
Binance,XRP/BNB,1.07,129031.54,454405.35,4187607.0,0.13,High,635.0,Recently,XRP,BNB
Poloniex,XRP/BTC,1.07,263312.84,285695.77,3396482.0,0.1,High,373.0,Recently,XRP,BTC
Bitfinex,XRP/BTC,1.07,944611.5,986153.24,2408105.0,0.07,High,305.0,Recently,XRP,BTC
Poloniex,XRP/USDT,1.07,269836.7,262884.13,2306128.0,0.07,High,411.0,Recently,XRP,USDT
Binance,XRP/AUD,1.07,138782.24,110117.03,2270452.0,0.07,High,802.0,Recently,XRP,AUD
FTX,XRP/BTC,1.07,1803871.92,5169983.37,2271782.0,0.07,High,216.0,Recently,XRP,BTC
Kraken,XRP/USDT,1.07,160888.17,191948.76,2230751.0,0.07,High,265.0,Recently,XRP,USDT
KuCoin,XRP/USDC,1.07,123956.22,123093.63,2064601.0,0.06,High,167.0,Recently,XRP,USDC
KuCoin,XRP/BTC,1.07,224494.41,241411.65,1989076.0,0.06,High,217.0,Recently,XRP,BTC
Binance,XRP/GBP,1.06,136327.4,88974.06,1955519.0,0.06,High,814.0,Recently,XRP,GBP
Binance,XRP/BRL,1.07,152103.62,69066.02,1469882.0,0.04,High,768.0,Recently,XRP,BRL
Bittrex,XRP/BTC,1.07,198097.08,352971.83,1347265.0,0.04,High,251.0,Recently,XRP,BTC
Kraken,XRP/XBT,1.07,456563.68,603153.22,1131212.0,0.03,High,298.0,Recently,XRP,XBT
Bittrex,XRP/USDT,1.07,465078.64,224423.69,1013708.0,0.03,High,246.0,Recently,XRP,USDT
KuCoin,XRP/ETH,1.07,126140.18,178894.59,782315.0,0.02,High,208.0,Recently,XRP,ETH
Bitstamp,XRP/BTC,1.07,367537.51,498399.48,718388.0,0.02,High,243.0,Recently,XRP,BTC
Bittrex,XRP/USD,1.07,293029.82,250972.87,691992.0,0.02,High,264.0,Recently,XRP,USD
Bitfinex,XRP/UST,1.07,743829.73,731600.7,687990.0,0.02,High,284.0,Recently,XRP,UST
Bitstamp,XRP/GBP,1.07,375674.51,338651.75,656792.0,0.02,High,251.0,Recently,XRP,GBP
Binance,TRX/XRP,1.07,41193.74,139161.6,613613.0,0.02,High,659.0,Recently,TRX,XRP
Kraken,XRP/CAD,1.06,120532.57,126733.6,452530.0,0.01,High,87.0,Recently,XRP,CAD
Kraken,XRP/GBP,1.07,177618.34,157939.85,401168.0,0.01,High,243.0,Recently,XRP,GBP
Kraken,XRP/ETH,1.07,254015.67,177112.31,346993.0,0.01,High,213.0,Recently,XRP,ETH
Binance,XRP/RUB,1.07,111832.63,24742.61,344152.0,0.01,High,921.0,Recently,XRP,RUB
Bittrex,XRP/EUR,1.07,93289.93,79258.13,329767.0,0.01,High,182.0,Recently,XRP,EUR
Huobi Global,XRP/HUSD,1.07,43597.42,53480.43,299933.0,0.01,High,234.0,Recently,XRP,HUSD
KuCoin,XRP/TUSD,1.07,14666.35,94396.62,280977.0,0.01,High,108.0,Recently,XRP,TUSD
Binance,XRP/BIDR,1.07,18441.75,19731.63,268573.0,0.01,High,572.0,Recently,XRP,BIDR
Binance,XRP/TUSD,1.07,32249.84,34712.19,262691.0,0.01,High,785.0,Recently,XRP,TUSD
Gate.io,XRP/BTC,1.07,22457.96,24052.26,238054.0,0.01,High,173.0,Recently,XRP,BTC
Liquid,XRP/BTC,1.08,61743.55,91862.04,231135.0,0.01,High,141.0,Recently,XRP,BTC
Bitstamp,XRP/USDT,1.07,42415.31,44691.28,208955.0,0.01,High,245.0,Recently,XRP,USDT
Bittrex,XRP/ETH,1.07,102464.97,227664.99,173783.0,0.01,High,234.0,Recently,XRP,ETH
KuCoin,XRP/KCS,1.07,16736.01,8329.69,165684.0,0.01,High,108.0,Recently,XRP,KCS
Bithumb,XRP/BTC,1.07,107589.15,36109.98,148881.0,0.0,High,117.0,Recently,XRP,BTC
Huobi Global,XRP/HT,1.07,13354.92,10941.58,127901.0,0.0,High,168.0,Recently,XRP,HT
Poloniex,XRP/USDC,1.07,32828.28,35819.76,117168.0,0.0,High,234.0,Recently,XRP,USDC
Liquid,XRP/USD,1.07,857525.59,357170.47,110666.0,0.0,High,153.0,Recently,XRP,USD
Kraken,XRP/JPY,1.07,156789.82,99885.06,67251.0,0.0,High,157.0,Recently,XRP,JPY
Kraken,XRP/AUD,1.07,78436.95,6659.88,34661.0,0.0,High,161.0,Recently,XRP,AUD
Poloniex,XRP/TRX,1.07,1414.04,1257.78,30698.0,0.0,High,86.0,Recently,XRP,TRX
Liquid,XRP/SGD,1.07,495564.85,731941.06,7483.0,0.0,High,134.0,Recently,XRP,SGD
Liquid,XRP/EUR,1.07,485141.18,596416.06,5823.0,0.0,High,136.0,Recently,XRP,EUR
Liquid,XRP/QASH,1.01,-,573.75,1042.0,0.0,High,5.0,Recently,XRP,QASH
OKEx,XRP/USDT,1.07,800269.37,1204778.05,55766370.0,1.7,Moderate,552.0,Recently,XRP,USDT
ZB.COM,XRP/USDT,1.07,460461.98,489897.55,42696165.0,1.3,Low,338.0,Recently,XRP,USDT
Crypto.com Exchange,XRP/USDT,1.07,1050357.85,1093773.78,10076935.0,0.31,High,468.0,Recently,XRP,USDT
ZB.COM,XRP/QC,1.07,287484.61,364194.21,6725302.0,0.2,Low,251.0,Recently,XRP,QC
OKEx,XRP/BTC,1.07,260820.55,260769.54,5813545.0,0.18,High,319.0,Recently,XRP,BTC
PancakeSwap (V2),XRP/WBNB,1.07,-,-,3758420.0,0.11,High,-,Recently,XRP,WBNB
Bitglobal,XRP/USDT,1.07,63750.06,26385.7,3588646.0,0.11,High,125.0,Recently,XRP,USDT
Phemex,XRP/USDT,1.07,-,-,3534345.0,0.11,N/A,-,Recently,XRP,USDT
ProBit Global,XRP/USDT,1.07,9156.19,41885.41,3386555.0,0.1,High,142.0,Recently,XRP,USDT
eToroX,XRP/USD,1.07,5667276.72,29980779.16,3252972.0,0.1,High,234.0,Recently,XRP,USD
AscendEX (Bitmax),XRP/USDT,1.07,356161.26,346139.11,2682654.0,0.08,High,408.0,Recently,XRP,USDT
LBank,XRP/USDT,1.07,1610913.4,1572735.92,2244763.0,0.07,High,303.0,Recently,XRP,USDT
Indodax,XRP/IDR,1.07,442160.82,253066.52,2015059.0,0.06,High,314.0,Recently,XRP,IDR
AscendEX (Bitmax),XRP/BTC,1.07,122071.51,132958.43,1746651.0,0.05,High,223.0,Recently,XRP,BTC
WazirX,XRP/INR,1.1,49791.9,9657.98,1488059.0,0.05,High,155.0,Recently,XRP,INR
Crypto.com Exchange,XRP/USDC,1.07,664657.26,541956.48,989595.0,0.03,High,330.0,Recently,XRP,USDC
OKEx,XRP/USDK,1.07,74657.02,41215.36,835544.0,0.03,High,173.0,Recently,XRP,USDK
LBank,XRP/ETH,1.07,76874.85,55941.03,566504.0,0.02,Low,84.0,Recently,XRP,ETH
OKEx,XRP/ETH,1.08,147193.35,137829.95,527180.0,0.02,High,151.0,Recently,XRP,ETH
OKEx,XRP/OKB,1.07,36393.95,35986.77,395421.0,0.01,High,115.0,Recently,XRP,OKB
OKEx,XRP/USDC,1.07,49586.25,45871.98,305412.0,0.01,High,190.0,Recently,XRP,USDC
WazirX,XRP/USDT,1.07,10362.59,10699.38,271897.0,0.01,High,111.0,Recently,XRP,USDT
ProBit,XRP/USDT,1.07,14763.03,37578.93,264940.0,0.01,High,148.0,Recently,XRP,USDT
ProBit Global,XRP/BTC,1.07,18809.37,18651.65,245630.0,0.01,High,41.0,Recently,XRP,BTC
Crypto.com Exchange,XRP/CRO,1.08,344217.51,348990.93,130045.0,0.0,High,122.0,Recently,XRP,CRO
ZB.COM,XRP/BTC,1.07,1302.53,14987.62,17078.0,0.0,High,107.0,Recently,XRP,BTC
WazirX,XRP/WRX,1.07,5821.77,2409.03,13354.0,0.0,High,44.0,Recently,XRP,WRX
50x,XRP/BTC,1.11,-,-,4088.0,0.0,High,22.0,Recently,XRP,BTC
PancakeSwap,XRP/WBNB,1.07,-,-,3570.0,0.0,High,-,Recently,XRP,WBNB
WazirX,XRP/BTC,1.05,37528.93,38116.57,1983.0,0.0,High,72.0,Recently,XRP,BTC
50x,XRP/ETH,1.12,-,-,1096.0,0.0,High,18.0,Recently,XRP,ETH
50x,XRP/USDT,1.12,-,-,76.14,0.0,High,21.0,Recently,XRP,USDT
50x,XRP/USDC,1.04,-,-,39.98,0.0,High,21.0,Recently,XRP,USDC
50x,XRP/TUSD,1.1,-,-,19.61,0.0,High,16.0,Recently,XRP,TUSD
Upbit,XRP/KRW,1.1,9272800.69,10159416.95,334181196.0,10.18,Low,160.0,Recently,XRP,KRW
Binance,SOL/USDT,155.83,4545079.86,3798983.42,539549162.0,19.78,High,636.0,Recently,SOL,USDT
Coinbase Exchange,SOL/USD,155.36,2012555.79,2369176.78,289259096.0,10.6,High,561.0,Recently,SOL,USD
FTX,SOL/USD,155.97,2039040.72,1790922.14,157010664.0,5.75,Moderate,485.0,Recently,SOL,USD
Binance,SOL/BUSD,155.79,1304169.46,1239255.41,135483069.0,4.97,High,698.0,Recently,SOL,BUSD
Binance,SOL/BTC,155.71,929683.73,981925.33,118979386.0,4.36,High,574.0,Recently,SOL,BTC
Binance.US,SOL/USD,155.92,1226068.36,1201355.56,65788791.0,2.41,High,940.0,Recently,SOL,USD
Huobi Global,SOL/USDT,155.84,542513.64,878079.01,65605846.0,2.4,Low,462.0,Recently,SOL,USDT
FTX,SOL/USDT,155.9,1287928.34,1271822.0,40241560.0,1.47,High,418.0,Recently,SOL,USDT
